product,pic,shippingstatus,mono_inputs,stereo_inputs,density,cv_panning,cv_vcas,mutesolo,sends,indiv_outs,headphone,price,notes,_mgurl,_website,_hp,_year
Product,,Shipping,Mono Inputs,Stereo Inputs,Channel Density/HP,CV Panning,CV VCAs,Mute/Solo,Sends,Individual Outs,Headphone Out,Approx. Price (USD),Additional Notes,,,,
1010music Bluebox Eurorack Edition,1010-bluebox-euro.jpg,Yes,0-12,0-6,40%,up to 6,up to 6,full mute/solo/cue for all tracks,four configurable outputs,four configurable outputs,Yes,$700,midi control support; built-in effects; EQ; six assignable CV inputs; multitrack recording with multiple takes; USB audio I/O; audio playback; master compressor,https://www.modulargrid.net/e/1010-music-bluebox-,https://1010music.com/product/bluebox-eurorack,30,2023
ADDAC Stereo Summing Mixer,addac-stereo-summing-mixer.jpg,Yes,1-5+,1-5+,6%,5,5,5 (manual),3 stereo sends,pre- or post-fader (switched per channel),Yes,$1350,"product is broken into two modules, one for I/O and one for control; expander adds four more fully-featured channels, and you can add as many of these as you like; additional expanders add more individual channel outputs;  cueing system; extensive line level support",https://www.modulargrid.net/e/addac-system-addac807a,http://www.addacsystem.com/product/addac800-series/addac807,80,2017
After Later Audio Bartender,after-later-bartender.jpg,Yes,0-4,0-4,17%,4,4,4 (manual),"2 stereo sends, 2 stereo returns",,Yes,TBD,each channel can be stereo or mono; cue system; expander can add two more channels,https://www.modulargrid.net/e/after-later-audio-bartender,,24,2023
ALM Busy Circuits Mega Tang,alm-mega-tang.jpg,Yes,4,,25%,0,4,"4 (manual, clickless)","1 mono send, 1 stereo return",4,No,$299,patching an individual channel output removes it from the stereo mix; additional channels or sends available with expanders,https://www.modulargrid.net/e/alm-busy-circuits-mega-tang,https://busycircuits.com/alm033/,16,2022
Animal Factory Tannhauser Gates,animal-factory-tannhauser.jpg,Yes,4,1 stereo aux input,20%,0,4, 4 (manual),1 stereo send,4,No,$400,overdrive; master VCA; tilt EQ per channel; multiple units can be chained,https://www.modulargrid.net/e/animal-factory-amplification-tannhaeuser-gates,https://animalfactoryamps.com/collections/eurorack-modules/products/eurorack-tannhauser-gates,20,2023
Audio Gear Obsession SUMMINGFACILITY,ago-summingfacility.jpg,Yes,6,aux returns can act as a stereo input,16%,0,0,"6 mutes (manual), 6 send mutes (manual)",2,,No,$1000,extra headroom; extra gain available for working with line level inputs; balanced i/o; expanders planned,https://www.modulargrid.net/e/other-unknown-summingfacility-,https://audiogearobsession.com,38,2019
Befaco HEXA,befaco-hexmix.jpg,Yes,6,3 stereo returns,9%,0,6,6 (manual),3 mono sends,post-EQ/fader,Yes,$1200,product is broken into three modules; per-channel and master EQ features; cueing system; LED VU meters for master mix,https://www.modulargrid.net/e/befaco-hex-mix,https://www.befaco.org/en/hexmix/,70,2017
blaknblu Alpha Pro,blaknblu-alpha-pro.jpg,Yes,4,0,11%,4,4,,0,,No,$490,dual mix buses;zero crossing detection for clickless enveloping; overdrive features;switchable AC/DC coupling,https://www.modulargrid.net/e/other-unknown-alpha-pro,http://www.blaknblu.com/,38,2024
Boredbrain Xcelon,boredbrain-xcelon.jpg,Yes,0-6 plus two mono/stereo returns,0-6 plus two mono/stereo returns,13%,6,6,6 (manual),2 stereo sends,balanced pre- or post-fader (optional expander required),No,$900,"each channel can be mono, stereo, or dual mono with a crossfader; two separate mix buses; level and CV over stereo aux returns; channel peaking and level LEDs; various expanders and related modules can be combined with the Xcelon",https://www.modulargrid.net/e/boredbrain-music-xcelon,http://www.boredbrainmusic.com/product/xcelon,48,2023
Centrevillage Cerasus Mixer,centreville-cerasus.jpg,Yes,3,2,42%,2,4,5 (manual),,No,No,$400,digitally-controlled analog mixer; two stereo buses; envelope follower and built-in ducking/accent capability; limiter feature (derived or external source); trim/gain; selectable pan law; multiple units can be chained to add channels,https://modulargrid.net/e/centrevillage-cerasus-mixer,https://centrevillage.net/products/25,12,2024
Clank Endline,clank-endline.jpg,Yes,0-6,0-4 + 2 stereo returns,40%,0,0,0,2 mono or 1 stereo,No,Yes,$450,special accommodations for integrating guitar pedals into send/return;submixer section ,https://modulargrid.net/e/clank-endline,https://www.clank.eu/endline,10,2024
Cosmotronic Cosmix Pro,cosmotronic-cosmix-pro.jpg,Yes,4-6,0-2,27%,2,0,6 (manual),"1 mono send, 1 stereo send",No,No,$470,low cut and gain switches for certain channels; led level meters; can be daisy-chained behind the panel,https://www.modulargrid.net/e/cosmotronic-cosmix-pro,,22,2022
Cre8audio Assembler,cre8audio-assembler.jpg,Yes,6,2,20%,,,11 (manual),3 mono,No,Yes,$350,EQ on channels 1 and 2; cue feature; gain boost feature for line to modular levels,https://modulargrid.net/e/cre8audio-assembler,https://www.cre8audio.com/assembler,40,2025
Cwejman MX-4S,mx4s.jpg,Yes,4,0,20%,4,4,0,0,,No,$900,cv over master level; LED VU meters for master mix,https://www.modulargrid.net/e/cwejman-mx-4s,http://www.cwejman.net/mx-4s.htm,20,2012
Doepfer A-135-3,doepfer-a-135-3.jpg,Yes,0,4,50%,0,4,0,,,No,$349,,https://www.modulargrid.net/e/doepfer-a-135-3,,8,2020
Doepfer A-135-4A/B/A-138o,doepfer-A135.jpg,Yes,4,0,13%,4,4,4 (cv),4,,No,$440,expandable up to sixteen channels; can be mixed/matched with A-138 modules; per-channel gain; envelope follower expander,https://www.modulargrid.net/e/doepfer-a-135-4a,http://www.doepfer.de/home_e.htm,30,2017
Dreadbox Psychosis,dreadbox-psychosis.jpg,Yes,0-6,0-3,30%,1 (sort of),0,0,0,0,No,$199,"cv controllable stereo spread (and inversion) with build-in LFO for swirly effects; four built-in stereo effects (reverb, delay, and two choruses); primarily designed to mix down multiples of the Dreadbox Telepathy voice module",https://www.modulargrid.net/e/dreadbox-psychosis,https://www.dreadbox-fx.com/psychosis/,10,2023
Endorphin.es Cockpit 2,endorphines-cockpit-2.jpg,Yes,0-4,0-4,67%,0,0,4 (manual),0,,Yes (but not dedicated),$200,"each channel can be mono (TR) or stereo (TRS) based upon jumpers; multiple Cockpit 2 modules can be daisychained with jumpers behind the panel; built in ducking circuit based on CV, audio, or triggers",https://www.modulargrid.net/e/endorphin-es-cockpit-2,https://endorphin.es/portfolio-items/cockpit-2/,6,2020
Entineering Mixer,entineering-mixer.jpg,Yes,0-3,0-3,30%,0,0,0,0,0,No,$222,MIDI controllable via program change or CC; 99 state save slots; toggle between two states with CV,https://modulargrid.net/e/entineering-mixer,https://shop.entineering.eu/product/entineering-mixer-429842,10,2024
Eowave Supamix,eowave-supamix.jpg,Yes,4-6,0-2,60%,2,0,"6 mutes (manual), plus various CV-triggered mute behaviors",,,No (but available on expander),$300,"additional stereo input, line out, and headphone out available with expander; TRS stereo output available via jumper setting",https://www.modulargrid.net/e/eowave-supamix,https://www.alex4.de/component/zoo/item/eowave-supamix,10,2023
Erica Synths Black Output v2,erica-black-output-v2.jpg,Yes,3,1,29%,1,0,0,0,,Yes,$290,,https://www.modulargrid.net/e/erica-synths-black-output-module,https://www.ericasynths.lv/shop/eurorack-modules/by-series/black-series/black-output-v2/,14,2018
Erica Synths Stereo Mixer v2,erica-stereo-mixer2.jpg,Yes,1,3,40%,1,0,0,0,,No,$145,Pre-fade Listen Expander available adds headphone output and cueing,https://www.modulargrid.net/e/erica-synths-black-stereo-mixer-v2,http://www.ericasynths.lv/en/shop/eurorack-modules/by-functions/mixers/black-stereo-mixer/,10,2017
Feedback Mix BX/CR/KM,feedback-mix-bx.jpg,Yes,6,2 stereo returns,23%,0,0,6 (manual),2,,Yes,$300,Hi/Lo EQ per channel; three circuit designs available (different coloration),https://www.modulargrid.net/e/feedback-mix-bx,https://www.feedbackmodules.com/products/mix-bx,35,2021
Frap Tools CGM,frapcgm-updated-2.jpg,Yes,3+,3+,8%,3+,3+,3+ (manual),2+,pre- or post-fader (switched per channel),Yes,$1100,unique expandable modular design (picture shows only one possible combo); extensive VCA support on everything; solo functionality (requires Group module); pre-fader cueing (requires Master module); LED VU meters for master mix (Master module); 2021 update adds multiple balanced output stage,https://www.modulargrid.net/e/modules/browser?SearchName=cgm,http://frap.tools/portfolio/mixer/,36,2016
Frap Tools QSC,frap-qsc.jpg,Yes,0-8,0-4,22%,2,4,4 (manual),2,,No,$500,"can be used standalone or as part of the CGM mixer system; nominally 4 stereo channels, but stereo inputs can be treated as dual mono, with crossfading functionality",https://www.modulargrid.net/e/frap-tools-qsc-quad-stereo-channel,https://frap.tools/products/mixer/,18,2020
Frequency Central Strips,freq-central-strips.jpg,Yes,4,1 stereo AUX return,20%,,4,4 (manual),1,,,$320,high and low eq; scribble strips; two units can be chained,https://www.modulargrid.net/e/frequency-central-strips,https://frequencycentral.co.uk/product/strips-4-channel-vca-mixer/,20,2024
Happy Nerding Panmix,happy-nerding-panmix.jpg,Yes,4-6 (switches on back),0-2 (switches on back),38%,0-6,0-6,0,0,,Yes (sort of),$300,LED VU meters for master mix; headphones and main outputs share one attenuator; inputs 3 and 6 can accept stereo mini jacks depending on switches on back of panel;can be daisy chained with other Happy Nerding stereo modules,https://www.modulargrid.net/e/happy-nerding-panmix,http://www.happynerding.com/category/panmix/,16,2016
